MGT-007;Capacité d’adaptation;4;S’ajuster rapidement et efficacement aux évolutions et changements.
MAT-002;Caractérisation chimique des minerais;1;Analyser la composition chimique des matières premières pour garantir la qualité du process sidérurgique.
TEC-002;Caractérisation physico-chimique des minerais;1;Analyser les propriétés chimiques et physiques des minerais.
FIN-005;Comptabilité Générale et Fiscalité;1;Garantir la conformité des états financiers aux normes comptables et fiscales marocaines.
FIN-008;Comptabilité analytique et industrielle;1;Maîtriser et optimiser les méthodes de comptabilité analytique pour analyser les coûts industriels et piloter la rentabilité.
DIG-013;Conception structures industrielles lourdes;1;Concevoir et dimensionner des structures adaptées aux contraintes mécaniques et thermiques.
PRD-005;Conduite des procédés sidérurgiques;1;Piloter les installations de transformation à chaud ou à froid
TRS-011;Conduite du changement;2;Accompagner et diriger les transitions organisationnelles.
SUP-002;Conduite sécurisée;1;Adopter des pratiques de conduite préventive et responsable.
AUD-003;Conformité environnementale et réglementaire;1;Garantir la conformité aux réglementations environnementales, autorisations administratives et obligations sectorielles.
AUD-002;Conformité réglementaire industrielle;1;Veiller à la conformité des opérations industrielles avec les obligations légales et réglementaires.
SUP-003;Connaissance des itinéraires;1;Planifier et gérer efficacement les trajets en utilisant une connaissance approfondie.
FIN-007;Construction budgétaire et Forecasting;1;Élaborer, piloter et actualiser les budgets et prévisions financières en assurant l'alignement avec les objectifs stratégiques.
AUD-005;Contrôle Interne et Conformité;1;Concevoir et déployer le dispositif de contrôle interne.
FIN-003;Contrôle de Gestion Industriel;1;Piloter la performance économique de l’usine à travers l’analyse des coûts de revient et des écarts.
ACH-BO-002;Contrôle interne & conformité achats;1;Garantir la conformité des dossiers d'achats et piloter le dispositif de contrôle interne pour analyser les écarts et définir la stratégie de contrôle.
SUP-004;Coordination inter-équipes;1;Faciliter la communication et la collaboration entre les différentes équipes.
PRD-006;Coordination production / maintenance;1;Garantir la coordination entre les équipes de production et de maintenance pour optimiser la disponibilité opérationnelle.
MNG-012;Courage de l'Interpellation (Courage to Challenge);4;Faire preuve de courage et de confiance pour exprimer son désaccord, interpeller les autres et remettre en question le statu quo.
HSE-002;Culture Santé & Sécurité - Conscience de soi (Self-Awareness);4;Capacité à réfléchir sur ses propres attitudes, comportements et sa tolérance au risque qui influencent la sécurité au travail et personnelle.
DIG-003;Cybersécurité OT;1;Mettre en œuvre les dispositifs de cybersécurité pour protéger les systèmes industriels critiques.
DIG-005;Data Science & IA Industrielle;1;Exploiter les données massives pour créer des modèles d'aide à la décision et automatiser les processus complexes.
MGT-009;Diplomatie;4;Gérer les interactions et situations sensibles avec tact et respect.
DIG-016;Droit social industriel;1;Appliquer et sécuriser les pratiques en matière de droit du travail en environnement industriel (disciplinaire, licenciements, négociations collectives).
LOG-006;Dédouanement et transit international;1;Gérer et sécuriser les opérations de dédouanement et de transit international pour optimiser les flux logistiques mondiaux.
MGT-001;Délégation;3;Confier des tâches, responsabilités ou projets en tenant compte des compétences.
MNG-014;Développement des Talents (Learning & Development);3;Prendre en charge son propre développement et soutenir activement la croissance des autres.
MGT-010;Ecoute active analytique et constructive;4;Prêter une attention pleine et attentive aux interlocuteurs.
DIG-021;Edge Computing industriel;1;Déployer des capacités de calcul au plus près des sources de données pour réduire la latence.
SUP-005;Entretien de véhicule;1;Assurer l’entretien régulier et le suivi de l’état du véhicule.
MGT-012;Esprit d’équipe;4;Collaborer activement avec les membres d’un groupe pour atteindre des objectifs communs.
DAT-001;Exploitation avancée des données métiers;1;Analyser et structurer les données métiers pour générer des analyses avancées et définir la stratégie data.
PRD-003;Fiabilisation des équipements industriels;1;Analyser les pannes et mettre en œuvre des solutions durables pour réduire les arrêts non programmés.
MGT-013;Fiabilité;4;Assumer ses responsabilités en respectant ses engagements.
FIN-020;Finance pour Non-Financiers (Business Finance);2;Interpréter et appliquer les indicateurs financiers clés pour prendre de meilleures décisions commerciales.
RH-001;Gestion administrative du personnel;1;Assurer la gestion administrative des dossiers du personnel, de l'embauche au départ, en conformité avec la législation du travail et les procédures internes.
SUP-006;Gestion administrative et organisationnelle;1;Planifier, organiser et gérer les activités administratives.
DIG-004;Gestion administrative industrielle;1;Assurer la gestion administrative et documentaire en environnement industriel.
PRJ-001;Gestion de Projet (Project Management);1;Capacité à gérer des projets ou programmes dans le respect des paramètres de coût, de délai et de qualité.
HSE-009;Gestion de la Sécurité des Procédés (PSM);1;Maîtrise des éléments clés de l'évaluation des risques liés aux procédés et des pratiques de gestion pour réduire l'exposition.
FIN-004;Gestion de la Trésorerie et Financement;1;Optimiser les flux financiers et garantir la liquidité de l’entreprise.
FIN-010;Gestion de la balance âgée clients;1;Gérer et optimiser la balance âgée clients, du suivi des créances à la stratégie de gestion du poste client.
FIN-009;Gestion de la balance âgée fournisseurs;1;Gérer et optimiser la balance âgée fournisseurs, du suivi des factures à la stratégie d'optimisation du poste fournisseurs.
RH-004;Gestion de la formation;1;Élaborer et mettre en œuvre le plan de développement des compétences pour accompagner la stratégie de l'entreprise.
PRD-002;Gestion de la maintenance préventive;1;Planifier et exécuter les opérations de maintenance pour garantir la disponibilité maximale des équipements.
RH-002;Gestion de la paie;1;Garantir le calcul et le versement exact des salaires et des charges sociales dans le respect des délais et de la réglementation.
COM-003;Gestion de la relation client (CRM);1;Piloter et fidéliser le portefeuille client à travers l'utilisation efficace d'outils CRM et un suivi personnalisé.
TRS-015;Gestion de projet et amélioration continue;2;Planifier, coordonner et exécuter des projets en intégrant l’amélioration continue.
TRS-016;Gestion de projets;2;Superviser et coordonner l’ensemble des phases d’un projet.
DIG-012;Gestion de projets de construction industrielle;1;Piloter des projets de construction et d’extension d’installations industrielles lourdes.
RSK-001;Gestion des Risques Métier (Risk Management);1;Identifier, évaluer, hiérarchiser et gérer les risques au sein d'un processus de production ou métier.
ACH-002;Gestion des achats CAPEX;1;Piloter les achats d'investissement (Capital Expenditure) liés aux projets industriels et aux équipements lourds.
ACH-003;Gestion des achats MRO;1;Gérer les achats de maintenance, réparation et opérations (Maintenance, Repair and Operations) pour garantir la disponibilité des pièces critiques.
DIG-017;Gestion des assurances industrielles;1;Superviser les polices d’assurance liées aux risques industriels, responsabilité civile et dommages matériels.
ACH-BO-008;Gestion des catalogues e-achats;1;Gérer et déployer les catalogues e-achats pour optimiser la couverture et l'efficacité des achats indirects.
DIG-015;Gestion des contentieux industriels;1;Assurer la gestion et le suivi des litiges liés aux contrats industriels, fournisseurs, sous-traitants et partenaires.
FIN-015;Gestion des contrôles fiscaux;1;Gérer et optimiser les contrôles fiscaux, de la préparation des dossiers à la stratégie de gestion du risque fiscal.
ACH-BO-005;Gestion des données de base achats (Master Data);1;Gérer et gouverner les données de base achats pour garantir leur intégrité et piloter la digitalisation du Master Data.
FIN-013;Gestion des déclarations fiscales;1;Gérer et optimiser les déclarations fiscales, de la préparation des dossiers à la stratégie d'optimisation de la charge fiscale.
SUP-007;Gestion des flux documentaires;1;Organiser, traiter et suivre les flux de documents entrants et sortants.
ACH-BO-003;Gestion des flux financiers achats (P2P);1;Gérer et optimiser les flux financiers liés aux achats, du traitement des factures au paiement, en assurant le rapprochement et la sécurité des flux.
ACH-BO-004;Gestion des litiges fournisseurs;1;Gérer et résoudre les litiges avec les fournisseurs en coordination avec les parties prenantes pour optimiser les processus et garantir la satisfaction client.
SUP-008;Gestion des livraisons et logistique;1;Organiser et effectuer les livraisons, les collectes et les courses.
ACH-BO-010;Gestion des opérations Back Office Achats;1;Piloter les opérations administratives et opérationnelles du Back Office Achats pour garantir la fluidité et la conformité du cycle achats.
SCM-002;Gestion des pièces de rechange critiques;1;Optimiser la gestion des stocks de pièces de rechange critiques pour garantir la continuité de service.
OPE-002;Gestion des processus & workflows;1;Concevoir, optimiser et piloter les processus et workflows opérationnels pour garantir l'excellence opérationnelle.
GOV-002;Gestion des risques opérationnels;2;Identifier, évaluer et piloter les risques opérationnels pour garantir la continuité et la sécurité des activités.
MAT-001;Gestion des stocks de matières premières;1;Assurer l'approvisionnement et la gestion optimale des parcs à matières (minerais, charbon, ferrailles).
PRD-004;Gestion des énergies et utilités;1;Optimiser la consommation d'énergie (électricité, gaz, eau) et garantir la disponibilité des utilités industrielles.
MNG-017;Gestion du Changement et de l'Ambiguïté;3;Opérer efficacement même dans l'incertitude et accompagner les transitions organisationnelles.
FIN-006;Gestion du Crédit Client (Credit Management);1;Maîtriser le risque client et optimiser les délais de paiement (DSO).
FIN-011;Gestion du recouvrement clients;1;Gérer et optimiser le recouvrement des créances clients, de la relance simple à la stratégie de réduction du risque.
FIN-012;Gestion du risque client (credit management);1;Gérer et optimiser le risque client, de l'application des règles de crédit à la politique globale de credit management.
FIN-001;Gestion financière;1;Suivre, optimiser et contrôler les aspects financiers liés aux opérations du site, en garantissant l’utilisation efficace des ressources et la conformité aux directives organisationnelles
AIA-001;Gouvernance des données industrielles;1;Structurer et valoriser les données industrielles
DIG-002;Gouvernance des systèmes industriels (MES/ERP);1;Administrer et sécuriser les systèmes d’information industriels et assurer leur disponibilité.
DIG-024;Gouvernance et éthique de l’IA;1;Assurer un déploiement responsable et conforme des solutions d'intelligence artificielle.
HSE-006;Hiérarchie des Contrôles et Facteurs Humains;1;Appliquer une approche structurée de réduction des risques en privilégiant l'élimination des dangers avant les contrôles de bas niveau.
AIA-002;IA appliquée aux procédés industriels;1;Optimiser les procédés via IA
DIG-022;Impression 3D et fabrication additive;1;Utiliser la fabrication additive pour la production de pièces de rechange et prototypes.
HSE-008;Indicateurs Avancés (KPIs) et Analyse de Cause Racine Longitudinale;1;Utiliser des indicateurs proactifs et des analyses de causes profondes pour obtenir une vision globale de la sécurité.
MNG-016;Innovation et Nimble Learning;3;Être orienté vers le futur, curieux et ouvert, en cherchant activement des moyens innovants d'ajouter de la valeur.
MNG-013;Inspirer la Confiance (Inspire Trust);3;Être authentique, honnête et transparent tout en recherchant et en donnant des feedbacks constructifs.
DIG-006;IoT industriel et capteurs connectés;1;Intégrer et exploiter des capteurs connectés pour le suivi en temps réel des équipements et procédés.
DIG-008;Jumeau numérique industriel;1;Développer et exploiter des modèles numériques des installations pour simuler et optimiser les opérations.
HSE-004;Leadership Bienveillant et Sécurité Psychologique (Caring Leadership);3;Créer un environnement où les équipes se sentent physiquement et psychologiquement en sécurité, valorisées et soutenues.
HSE-003;Leadership Responsable et Équitable (Accountable & Just Leadership);3;Garantir l'application transparente et équitable des standards de sécurité et favoriser la confiance par la visibilité et l'autorité.
HSE-005;Leadership d'Anticipation des Risques (Risk-focused Leadership);3;Identifier et atténuer proactivement les risques avec un état d'esprit 'zéro incident' et favoriser l'empowerment des équipes.
OPE-001;Lean Manufacturing & Amélioration Continue;1;Déployer les outils et la culture Lean
DIG-010;Machine Learning appliqué à l’industrie;1;Déployer des modèles prédictifs pour l’optimisation des procédés et la détection d’anomalies.
MNT-003;Maintenance des engins industriels mobiles;1;Assurer la maintenance et la disponibilité du parc d'engins industriels mobiles.
MNT-001;Maintenance industrielle multi-technique;1;Assurer la maintenance des systèmes mécaniques, électriques et hydrauliques
DIG-014;Maintenance infrastructures industrielles;1;Assurer la maintenance préventive et corrective des bâtiments et infrastructures industrielles.
DIG-007;Maintenance prédictive basée données;1;Utiliser les données industrielles pour anticiper les défaillances et améliorer la fiabilité des actifs.
TRS-021;Maitrise des outils informatiques;2;Utiliser de manière efficace les outils et applications informatiques.
SUP-009;Maîtrise des procédures de sécurité;1;Appliquer et respecter les procédures de sécurité liées aux déplacements.
MET-004;Métallurgie de l’aluminium;1;Maîtriser l’élaboration et la transformation de l’aluminium
MET-001;Métallurgie des ferreux;1;Maîtriser les procédés d’élaboration et de transformation des aciers et fontes
MET-002;Métallurgie des non-ferreux;1;Maîtriser les procédés d’élaboration des métaux non-ferreux
MET-003;Métallurgie du cuivre;1;Maîtriser l’élaboration et la transformation du cuivre et ses alliages
COM-001;Négociation commerciale;1;Mener des négociations complexes avec les clients pour conclure des ventes tout en préservant les marges et en consolidant la relation.
TEC-003;Optimisation traitement des matières premières;1;Optimiser les procédés de préparation et de transformation des minerais.
ENE-001;Optimisation énergétique des équipements;1;Piloter l'optimisation énergétique des équipements industriels pour réduire les coûts et l'empreinte carbone.
MGT-016;Orientation Client;4;Comprendre et répondre aux attentes des clients internes ou externes.
MNG-011;Orientation Parties Prenantes (Stakeholder Orientation);3;Bâtir et maintenir activement des relations avec les parties prenantes pour atteindre des objectifs mutuels.
MNG-010;Orientation vers les Résultats (Results Orientation);3;Détermination à atteindre des standards de performance élevés et à délivrer de la valeur commerciale.
MGT-018;Patience et tolérance au stress;4;Gérer les situations de pression ou de tension avec calme et maîtrise.
MNG-015;Pensée Stratégique (Strategic Thinking);3;Aligner les activités quotidiennes avec la vision de l'organisation et analyser les défis sous différents angles.
MGT-003;Pilotage de la performance;3;Superviser, analyser et optimiser les performances de son équipe.
PRD-001;Pilotage de la production sidérurgique;1;Superviser et optimiser les flux de production pour atteindre les objectifs de volume, qualité et délais.
LOG-001;Pilotage des prestataires techniques;1;Gérer et piloter la performance des prestataires techniques externes.
PER-001;Pilotage par les KPIs;2;Définir, suivre et analyser les indicateurs de performance clés pour piloter l'activité et optimiser les résultats.
GOV-001;Pilotage stratégique de l’activité;2;Définir et piloter la stratégie globale d'un périmètre pour orienter les décisions et garantir la performance.
SCM-001;Planification industrielle & S&OP;1;Équilibrer la charge et la capacité pour répondre à la demande
MGT-019;Problem solving;4;Analyser des problèmes pour en identifier les causes profondes et proposer des solutions.
COM-002;Prospection et développement commercial;1;Identifier de nouvelles opportunités de marché et convertir des prospects en clients actifs pour accroître les parts de marché.
MNG-018;Qualité de la Prise de Décision;3;Prendre des décisions opportunes et éclairées basées sur l'analyse, l'expérience et le jugement.
RH-003;Recrutement et intégration;1;Identifier, attirer et sélectionner les meilleurs talents pour répondre aux besoins de l'organisation et assurer leur intégration réussie.
RH-005;Relations sociales;1;Animer le dialogue social et maintenir un climat social serein au sein de l'organisation.
ACH-BO-006;Reporting & KPI achats;1;Collecter les données et piloter le reporting achats en définissant les KPI pour mesurer la performance et la valeur ajoutée.
MGT-021;Respect des délais;4;Planifier et organiser ses activités pour respecter les échéances fixées.
MGT-023;Rigueur et sens de l'organisation;4;Structurer et prioriser les tâches pour garantir une exécution méthodique.
MGT-020;Réactivité et gestion proactive des imprévus;4;Réagir rapidement et efficacement face à des situations imprévues.
DIG-019;Réalité Augmentée pour la maintenance;1;Utiliser la RA pour assister les techniciens lors des interventions et formations.
DIG-018;Rédaction et sécurisation des contrats techniques;1;Rédiger, analyser et sécuriser les contrats techniques complexes liés aux équipements et projets industriels.
MGT-027;Sens de l'engagement;4;Faire preuve de détermination et de responsabilité pour atteindre les objectifs.
MGT-026;Sens de la confidentialité;4;Protéger les informations sensibles et veiller à leur utilisation appropriée.
MGT-024;Sens de l’initiative;4;Identifier et saisir les opportunités d’action ou d’amélioration.
MGT-025;Sens de l’innovation;4;Imaginer et mettre en œuvre des idées ou solutions nouvelles.
MGT-028;Sens des responsabilités;4;Prendre en charge ses missions avec sérieux et professionnalisme.
MGT-029;Sens du détail;4;Porter une attention particulière aux aspects précis et minutieux.
SUP-011;Services généraux et gestion des infrastructures;1;Assurer la gestion opérationnelle et stratégique des services généraux.
MNT-002;Stratégie de maintenance & fiabilité industrielle;1;Définir et piloter la stratégie globale de maintenance pour optimiser la fiabilité des équipements.
FIN-018;Suivi des coûts et rentabilité;1;Gérer et optimiser le suivi des coûts et la rentabilité, de l'application du suivi à la stratégie de pilotage des coûts.
ACH-BO-007;Support aux utilisateurs (Helpdesk achats);1;Assurer le support aux utilisateurs des outils achats, résoudre les incidents et garantir l'adoption des outils.
DIG-023;Systèmes de vision industrielle par IA;1;Déployer des solutions de vision par ordinateur pour le contrôle qualité et la sécurité.
HSE-001;Sécurité comportementale en maintenance (BBS);1;Développer et piloter une culture de sécurité comportementale lors des interventions de maintenance.
TRS-032;Transformation digitale;2;Concevoir, mettre en œuvre et accompagner des initiatives numériques.
FIN-014;Veille et conformité fiscale;1;Gérer et optimiser la veille et la conformité fiscale, de l'application des règles en vigueur à l'anticipation des évolutions.
FIN-017;Élaboration de tableaux de bord de performance;1;Gérer et optimiser l'élaboration de tableaux de bord de performance, de l'application des modèles de reporting à la définition des systèmes de pilotage.
